"","Company","Location","Industry","Rating","Salaries","Python","R","SAS","SQL","Java","Tableau","Spark","C","Perl","Excel","Hadoop","NoSQL","HBase","State","max","min","mean"
"699",NA,"Washington, DC","Media",2,"$66k-$107k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"DC","107","66",86.5
"701"," Trustmark","Jackson, MS","Finance",2.7,"$60k-$94k(Glassdoor est.)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MS","94","60",77
"702"," RedOwl","New York, NY","Information Technology",4.4,"$75k-$111k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY","111","75",93
"703"," CNN","New York, NY","Media",3.7,"$129k-$189k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","189","129",159
"704"," Houzz","Palo Alto, CA","Information Technology",3.7,"$89k-$127k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","127","89",108
"706"," Catapult Sports","Chicago, IL","Arts, Entertainment ; Recreation",4.3,"$79k-$121k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"IL","121","79",100
"709"," KAISER","San Diego, CA","Health Care",3.9,"$73k-$113k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"CA","113","73",93
"711",NA,"Hoboken, NJ","Information Technology",4.2,"$86k-$132k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NJ","132","86",109
"713"," NetApp","Research Triangle Park, NC","Information Technology",3.4,"$104k-$148k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"NC","148","104",126
"716"," Ibiztek Solutions","Baltimore, MD","Information Technology",1,"$82k-$129k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"MD","129","82",105.5
"718"," Intrexon Corporation","Germantown, MD","Biotech ; Pharmaceuticals",2.7,"$61k-$94k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MD","94","61",77.5
"719"," L2","New York, NY","Business Services",3.1,"$55k-$87k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","87","55",71
"720",NA,"Alexandria, VA","Information Technology",2.9,"$74k-$109k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"VA","109","74",91.5
"721"," CSRA","Huntsville, AL","Information Technology",3.1,"$53k-$74k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"AL","74","53",63.5
"722"," JPMorgan Chase & Co","Dallas, TX","Finance",3.7,"$81k-$124k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"TX","124","81",102.5
"724"," MetroStar Systems","Reston, VA","Information Technology",4.2,"$51k-$79k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"VA","79","51",65
"725"," Nordstrom","Seattle, WA","Retail",3.6,"$108k-$155k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"WA","155","108",131.5
"726"," Goldman Sachs","Jersey City, NJ","Finance",3.9,"$104k-$162k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"NJ","162","104",133
"728"," IgnitionOne","Atlanta, GA","Information Technology",3.6,"$65k-$100k(Glassdoor est.)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"GA","100","65",82.5
"729"," Ava Consulting","Providence, RI","Information Technology",3.3,"$62k-$85k(Glassdoor est.)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"RI","85","62",73.5
"730"," WorldQuant","Greenwich, CT","Finance",4,"$71k-$110k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"CT","110","71",90.5
"731"," SCOR","Charlotte, NC","Insurance",3.6,"$100k-$147k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NC","147","100",123.5
"732"," Hollister Staffing","Boston, MA","Business Services",4,"$74k-$107k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA","107","74",90.5
"733"," ALEX","Springfield, VA","Information Technology",3.8,"$80k-$120k(Glassdoor est.)",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"VA","120","80",100
"734"," Amino","San Francisco, CA","Information Technology",4.8,"$120k-$167k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","167","120",143.5
